round,entryId,intrinsicValue,priority,activation,userSilence,modelSilence,state,userHit,modelHit
0,wb_coffee-fixture_咖啡,45,100,45.000,0,0,Active,1,1
0,wb_coffee-fixture_白厄,90,150,0.000,1,1,Archived,0,0
1,wb_coffee-fixture_咖啡,45,100,65.000,0,0,Active,1,1
1,wb_coffee-fixture_白厄,90,150,0.000,2,2,Archived,0,0
2,wb_coffee-fixture_咖啡,45,100,85.000,0,0,Active,1,0
2,wb_coffee-fixture_白厄,90,150,0.000,3,3,Archived,0,0
3,wb_coffee-fixture_咖啡,45,100,84.732,1,1,Active,0,0
3,wb_coffee-fixture_白厄,90,150,90.000,0,0,Active,1,1
4,wb_coffee-fixture_咖啡,45,100,83.658,2,2,Active,0,0
4,wb_coffee-fixture_白厄,90,150,89.810,1,1,Active,0,0
5,wb_coffee-fixture_咖啡,45,100,81.243,3,3,Active,0,0
5,wb_coffee-fixture_白厄,90,150,89.051,2,2,Active,0,0
6,wb_coffee-fixture_咖啡,45,100,76.950,4,4,Active,0,0
6,wb_coffee-fixture_白厄,90,150,87.344,3,3,Active,0,0
7,wb_coffee-fixture_咖啡,45,100,70.242,5,5,Active,0,0
7,wb_coffee-fixture_白厄,90,150,84.308,4,4,Active,0,0
8,wb_coffee-fixture_咖啡,45,100,60.582,6,6,Active,0,0
8,wb_coffee-fixture_白厄,90,150,100.000,0,0,Active,1,1
9,wb_coffee-fixture_咖啡,45,100,47.434,7,7,Active,0,0
9,wb_coffee-fixture_白厄,90,150,99.810,1,1,Active,0,0
10,wb_coffee-fixture_咖啡,45,100,30.261,8,8,Active,0,0
10,wb_coffee-fixture_白厄,90,150,99.051,2,2,Active,0,0
11,wb_coffee-fixture_咖啡,45,100,8.526,9,9,Dormant,0,0
11,wb_coffee-fixture_白厄,90,150,97.344,3,3,Active,0,0
12,wb_coffee-fixture_咖啡,45,100,0.000,10,10,Archived,0,0
12,wb_coffee-fixture_白厄,90,150,94.308,4,4,Active,0,0
13,wb_coffee-fixture_咖啡,45,100,0.000,11,11,Archived,0,0
13,wb_coffee-fixture_白厄,90,150,89.564,5,5,Active,0,0
14,wb_coffee-fixture_咖啡,45,100,0.000,12,12,Archived,0,0
14,wb_coffee-fixture_白厄,90,150,82.734,6,6,Active,0,0
15,wb_coffee-fixture_咖啡,45,100,45.649,0,0,Active,1,0
15,wb_coffee-fixture_白厄,90,150,73.437,7,7,Active,0,0
16,wb_coffee-fixture_咖啡,45,100,45.381,1,1,Active,0,0
16,wb_coffee-fixture_白厄,90,150,61.294,8,8,Active,0,0
17,wb_coffee-fixture_咖啡,45,100,72.313,0,0,Active,1,0
17,wb_coffee-fixture_白厄,90,150,45.925,9,9,Active,0,0
18,wb_coffee-fixture_咖啡,45,100,72.044,1,1,Active,0,0
18,wb_coffee-fixture_白厄,90,150,26.951,10,10,Dormant,0,0
19,wb_coffee-fixture_咖啡,45,100,70.971,2,2,Active,0,0
19,wb_coffee-fixture_白厄,90,150,3.993,11,11,Dormant,0,0
20,wb_coffee-fixture_咖啡,45,100,68.556,3,3,Active,0,0
20,wb_coffee-fixture_白厄,90,150,48.842,0,0,Active,1,0
21,wb_coffee-fixture_咖啡,45,100,64.263,4,4,Active,0,0
21,wb_coffee-fixture_白厄,90,150,48.653,1,1,Active,0,0
22,wb_coffee-fixture_咖啡,45,100,100.000,0,0,Active,1,0
22,wb_coffee-fixture_白厄,90,150,47.894,2,2,Active,0,0
23,wb_coffee-fixture_咖啡,45,100,99.732,1,1,Active,0,0
23,wb_coffee-fixture_白厄,90,150,46.186,3,3,Active,0,0
24,wb_coffee-fixture_咖啡,45,100,98.658,2,2,Active,0,0
24,wb_coffee-fixture_白厄,90,150,43.150,4,4,Active,0,0
25,wb_coffee-fixture_咖啡,45,100,96.243,3,3,Active,0,0
25,wb_coffee-fixture_白厄,90,150,38.407,5,5,Active,0,0
26,wb_coffee-fixture_咖啡,45,100,91.950,4,4,Active,0,0
26,wb_coffee-fixture_白厄,90,150,31.576,6,6,Active,0,0
27,wb_coffee-fixture_咖啡,45,100,100.000,0,0,Active,1,0
27,wb_coffee-fixture_白厄,90,150,22.279,7,7,Dormant,0,0
28,wb_coffee-fixture_咖啡,45,100,99.732,1,1,Active,0,0
28,wb_coffee-fixture_白厄,90,150,10.136,8,8,Dormant,0,0
29,wb_coffee-fixture_咖啡,45,100,98.658,2,2,Active,0,0
29,wb_coffee-fixture_白厄,90,150,0.000,9,9,Archived,0,0
